code_dept,apl_medecins_std,urbanite_std
12,-0.18491510289809915,-0.77640845070422493
14,0.43227629323621675,-0.56838095238095221
15,-0.10087529109619091,-0.86260162601626
49,0.2961806255102899,-0.42228571428571454
69,0.15524350443725085,-0.16716981132075487
13,0.92565450146834993,0.096638655462184919
75,1.8720702563800993,1.0
55,0.092406855979470834,-0.716232464929859
02,-0.18128993584511768,-0.629360100376412
03,-0.20913848186831477,-0.75520504731861193
04,-0.319704072521552,-0.69040404040404
05,0.993003444238377,-0.70617283950617293
08,0.20279872917933153,-0.65302013422818839
09,-0.040641287069705989,-0.74769230769230788
10,-0.34559101527138791,-0.65522041763341043
11,-0.34938211810807679,-0.67136258660508075
16,-0.096288801340562016,-0.757381615598886
17,0.31811068713725388,-0.59956709956709964
18,-0.86571560008717818,-0.71363636363636329
22,-0.039443243588625228,-0.62005813953488342
23,-0.2207377605859985,-0.91098039215686255
24,-0.20626965274179077,-0.82982107355864854
25,0.33143837394805981,-0.57229129662522182
26,-0.16585602437248556,-0.651381215469613
27,-0.42840725608060087,-0.614358974358974
28,-0.602306288782143,-0.58099173553719041
29,0.61527461289544316,-0.47075812274368245
2A,-0.3000839107311089,-0.70241935483870932
2B,-0.821151847827523,-0.75889830508474554
30,0.00971778926117297,-0.44371428571428534
33,0.61130480216519023,-0.49550561797752773
35,0.2389179150737781,-0.42680722891566303
36,-0.45107528910791783,-0.76721991701244774
39,0.18225078126553826,-0.66991869918699132
41,-0.50278688830595331,-0.65243445692883884
45,-0.791035290432358,-0.49630769230769267
47,-0.32797297683336735,-0.76551724137931021
50,-0.18349073643331826,-0.71775280898876426
51,-0.074462413851068471,-0.62475409836065543
52,-0.32126751131202963,-0.72558685446009386
53,-0.35885516839969356,-0.66791666666666716
54,0.10932244646849287,-0.52081218274111707
56,0.4062429324365579,-0.52128514056224906
57,0.093172908403160018,-0.46689655172413735
58,-0.47235141346604342,-0.81359223300970851
59,0.718433612758421,-0.15440494590417314
60,-0.18077633302429441,-0.50411764705882278
61,-0.1787805486962924,-0.79632545931758558
62,0.37819620224828915,-0.44937993235625728
63,0.08860749847828156,-0.67149028077753825
66,0.012603075507042556,-0.45442477876106191
68,0.0048650223279684841,-0.24289617486338788
70,0.24417655623151358,-0.68171641791044846
71,-0.39076923154099957,-0.70071047957371246
72,-0.35314003253801107,-0.60255681818181839
74,0.0154466762158984,-0.34408602150537648
76,0.3456852449011022,-0.535785007072136
77,-0.64455285709427246,-0.29625246548323469
79,-0.24711781391258292,-0.66111111111111076
80,0.547823821246298,-0.60064850843060946
81,-0.12060769753370595,-0.70732484076433111
83,0.088838217310988316,-0.20326797385620918
85,-0.27100696579561145,-0.432806324110672
86,0.23747046278536244,-0.65094339622641528
87,0.037735698961129265,-0.75999999999999968
88,0.11887094402298892,-0.65533596837944663
89,-0.4064163431519825,-0.65342789598108764
90,0.171696886833531,-0.31089108910891078
95,-0.49005535676674344,0.05792349726775961
01,-0.47950757212273565,-0.46649616368286423
06,-0.054400243250984893,-0.35153374233128792
07,-0.45623888336834956,-0.65223880597014927
78,-0.4664745938651812,-0.040926640926641
65,0.20303642063494426,-0.74264392324093753
19,-0.093504088408612865,-0.83068592057761725
21,-0.048631131007048953,-0.68209169054441277
31,0.30245256781094126,-0.59129692832764491
32,0.167141894967525,-0.88711790393013068
34,0.22125729762795729,-0.35366568914956042
37,0.32943456489341766,-0.53455882352941175
38,-0.0058338668541742817,-0.43535156250000023
40,0.44726670706838273,-0.67003058103975588
42,-0.18733693511182617,-0.49375000000000013
43,-0.30415203690324555,-0.74513618677042759
44,0.12888578392461619,-0.31159420289855078
46,-0.2455731523053051,-0.83205128205128176
48,-0.5773103956547293,-0.85
64,0.34212834754137217,-0.644403669724771
67,0.72518044985336072,-0.33132295719844362
73,0.23885343178592994,-0.4750915750915749
82,0.00079558188258070693,-0.75743589743589768
84,0.074490061022152693,-0.40397350993377462
91,-0.381253627711486,0.15360824742268039
94,0.53472065216602638,0.99148936170212765
93,0.1719035173388874,1.0
92,0.0991999710344918,1.0